Time (s),S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-18,S-19
1,40.06364,46.78236,45.16678,47.55512,46.94997,47.75573,47.58895,43.86374,46.40145,47.33287,46.98103,43.21374,46.01496
2,40.44184,47.55158,46.5167,48.28349,46.73545,47.92828,47.48924,44.04351,46.6579,47.6161,47.30933,43.16211,46.33205
3,40.48993,47.8957,47.7302,48.10297,46.86293,48.25277,47.25778,44.06597,46.55805,47.96648,47.47347,43.06737,46.32404
4,40.53766,48.05393,48.04057,48.24892,46.92122,48.25552,47.13127,44.06911,46.65357,48.43546,47.61113,43.11625,46.3501
5,40.56982,48.19501,48.07357,48.32054,46.93312,48.3569,47.16902,44.07755,46.67417,48.09713,47.70752,43.14654,46.41487
6,40.58901,48.38412,48.16067,48.42101,46.96361,48.26481,47.30509,44.08503,46.79951,48.37754,47.84326,43.12087,46.43048
7,40.60775,48.45708,48.13882,48.50226,47.0036,48.2713,47.37584,44.12238,46.85555,48.52458,47.94278,43.24234,46.52213
8,40.63968,48.57167,48.23454,48.65487,47.00297,48.3693,47.5773,44.2115,46.99072,48.6992,48.01199,43.22334,46.57352
9,40.68913,48.69658,48.2256,48.7157,47.02632,48.35187,47.559,44.23955,47.08757,48.68282,48.03486,43.2547,46.61844
10,40.78752,48.73049,48.32092,48.77107,47.04094,48.39221,47.56819,44.22865,47.08086,48.70186,48.0814,43.26127,46.68573
11,,,,48.78515,47.05546,48.41215,47.48428,44.30507,47.0839,48.66934,48.17002,43.23315,46.70878
12,,,,48.87747,47.08953,48.53,47.55042,44.37017,47.10495,48.62005,48.2328,43.22129,46.815
13,,,,48.95702,47.09679,48.50794,47.46959,44.42181,47.12652,48.65015,48.24582,43.25815,46.90866
14,,,,49.04683,47.12337,48.58415,47.54042,44.47531,47.19265,48.59728,48.28889,43.26138,46.96006
15,,,,49.06177,47.14417,48.59174,47.53691,44.46462,47.24081,48.60221,48.36329,43.27503,46.97974
16,,,,49.00676,47.15822,48.69263,47.58424,44.53402,47.34641,48.16568,48.4461,43.2799,46.95703
17,,,,49.09955,47.17518,48.67154,47.55169,44.53526,47.39293,48.68073,48.50192,43.29732,46.98377
18,,,,49.12238,47.21704,48.60862,47.57775,44.50004,47.52012,48.50518,48.53125,43.2993,46.99646
19,,,,49.17838,47.21622,48.64799,47.595,44.55407,47.54512,48.75509,48.5595,43.41398,47.00197
20,,,,49.30217,47.25663,48.64283,47.5755,44.58146,47.56397,48.86806,48.58332,43.43583,47.007
21,,,,49.32224,47.25797,48.66922,47.591,44.54408,47.58406,48.81317,48.59993,43.43283,47.03032
22,,,,49.29634,47.27881,48.75521,47.5922,44.68205,47.60157,48.71406,48.67348,43.43454,47.08175
23,,,,49.29516,47.31364,48.92028,47.60474,44.56922,47.60736,48.79558,48.71087,43.4329,47.11944
24,,,,49.26282,47.31911,48.96915,47.63064,44.52833,47.61476,48.98388,48.74216,43.44303,47.16776
25,,,,49.26608,47.39267,48.85236,47.6179,44.50917,47.61368,48.93775,48.76423,43.42637,47.28282
26,,,,49.29822,47.41154,48.92726,47.64021,44.47059,47.61816,48.73068,48.80715,43.38823,47.46221
27,,,,49.41829,47.39416,48.92295,47.71728,44.53448,47.61962,48.61493,48.85422,43.38931,47.55807
28,,,,49.42394,47.43825,48.95919,47.59418,44.65565,47.62541,48.75448,48.86752,43.40617,47.58308
29,,,,49.51068,47.46419,48.98488,47.62051,44.5906,47.68264,48.84428,48.83887,43.39964,47.59238
30,,,,49.57233,47.50714,48.9806,47.66125,44.5885,47.76475,49.13929,48.91448,43.44124,47.58361
